"","tree_id","tree_code","fp_tree_id","fp_species_name","fp_species_id","fp_genus_name","fp_genus_id","fp_family_name","fp_family_apg_id","sub_plot_code","plot_code","csp_site","csp_tree_code","csp_species","csp_family","csp_full_name","csp_taxon_info","dbh_latest","census_date_latest"
"7880",3409,"T704",1106494,"Brosimum rubescens",78286,"Brosimum",16530,"Moraceae",364,"9","PAN-02",NA,NA,NA,NA,NA,NA,0,"2013.241"
"7881",7958,"T704",637387,"Alzatea verticillata",23472,"Alzatea",638,"Alzateaceae",5,"19","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7882",10097,"T704",1063071,"Cecropia angustifolia",103372,"Cecropia",8315,"Urticaceae",378,"21","SPD-02",NA,NA,NA,NA,NA,NA,139,"2009.033"
"7883",12811,"T704",635895,"Miconia indet",644409,"Miconia",16100,"Melastomataceae",414,"22","TRU-04",NA,NA,NA,NA,NA,NA,168,"2011.575"
"7884",13869,"T704",633687,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"15","WAY-01",NA,NA,NA,NA,NA,NA,0,"2011.896"
"7885",705,"T705",1106087,"Symplocos quitensis",580089,"Symplocos",26001,"Symplocaceae",124,"20","ACJ-01",NA,NA,NA,NA,NA,NA,209,"2014.2"
"7886",1563,"T705",634974,"Weinmannia bangii",621938,"Weinmannia",9498,"Cunoniaceae",347,"25","ESP-01",NA,NA,NA,NA,NA,NA,397,"2011.915"
"7887",3410,"T705",1106495,"Quararibea wittii",513648,"Quararibea",6417,"Malvaceae",418,"9","PAN-02",NA,NA,NA,NA,NA,NA,174,"2013.241"
"7888",7959,"T705",637388,"Alzatea verticillata",23472,"Alzatea",638,"Alzateaceae",5,"19.r","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7889",10098,"T705",1063072,"Nectandra lineata",426941,"Nectandra",14628,"Lauraceae",374,"21","SPD-02",NA,NA,NA,NA,NA,NA,174,"2009.033"
"7890",12812,"T705",635896,"Miconia micropetala",411082,"Miconia",16100,"Melastomataceae",414,"22","TRU-04",NA,NA,NA,NA,NA,NA,116,"2011.575"
