"","plot_i","sp_i","level_used","sample_size"
"218","TRU-04","Miconia micropetala","b","16"
"219","SPD-02","Meliosma indet","b","6"
"220","TAM-05","Pseudolmedia laevigata","a","18"
"221","SPD-01","Ocotea indet","a","12"
"222","ESP-01","Symplocos reflexa","a","27"
"223","PAN-03","Brosimum utile","d","10"
"224","TAM-05","Tapirira guianensis","b","16"
"225","WAY-01","Clethra indet","c","15"
"226","TAM-05","Bixa arborea","a","18"
"227","TAM-06","Symphonia globulifera","f","169"
"228","SPD-01","Mollinedia indet","d","18"
"229","SPD-01","Mollinedia racemosa","d","18"
"230","SPD-02","Brunellia stenoptera","a","10"
"231","TAM-05","Sclerolobium bracteosum","e","21"
"232","TAM-06","Pouteria indet","c","6"
"233","SPD-01","Roupala montana","g","1"
"234","PAN-03","Micropholis guyanensis","a","18"
"235","SPD-02","Miconia elongata","d","88"
"236","TRU-04","Cinchona calisaya","a","21"
"237","TAM-05","Pourouma cucura","c","12"
"238","SPD-01","Dendropanax williamsii","c","10"
"239","PAN-03","Neea floribunda","h","2"
"240","SPD-01","Miconia spennerostachya","d","88"
"241","TAM-06","Malmea dielsiana","f","35"
"242","TAM-05","Pourouma guianensis","a","6"
"243","PAN-03","Sloanea obtusifolia","c","42"
"244","SPD-01","Saurauia indet",NA,"0"
"245","TAM-05","Hevea guianensis","b","9"
"246","TRU-04","Oreopanax indet","d","19"
"247","SPD-01","Lissocarpa indet","a","21"
"248","SPD-01","Protium indet","c","12"
"249","SPD-01","Hedyosmum racemosum","c","11"
"250","SPD-01","Ilex indet","c","15"
"251","SPD-01","Beilschmiedia latifolia","e","12"
"252","SPD-01","Tovomita weddelliana","e","24"
"253","PAN-03","Virola calophylla","d","15"
"254","SPD-01","Spirotheca rosea","f","23"
"255","TAM-05","Siparuna decipiens",NA,"0"
"256","TAM-06","Simarouba amara","i","1"
"257","TRU-04","Weinmannia reticulata","a","9"
"258","TAM-06","Parkia nitida","f","74"
"259","PAN-03","Chrysophyllum lucentifolium","d","18"
"260","SPD-01","Virola duckei","d","15"
"261","TAM-06","Inga splendens","d","23"
"262","ESP-01","Clethra indet","d","33"
"263","TRU-04","Cyathea delgadii","a","15"
"264","SPD-02","Myrsine pellucida","d","83"
"265","TAM-05","Euterpe precatoria",NA,"0"
